labeller_username,Cell_pk,cell_type,region_pk,slide_pk,slide_dx
admin,12478,M4,4891,80,normal
admin,12480,E1,4891,80,normal
admin,12481,M4,4891,80,normal
admin,12483,M4,4891,80,normal
admin,12482,M5,4891,80,normal
admin,12479,L2,4891,80,normal
admin,12484,M5,4891,80,normal
admin,12486,L2,4891,80,normal
admin,12485,L2,4891,80,normal
admin,12487,L2,4891,80,normal
admin,12489,L2,4891,80,normal
admin,12488,L2,4891,80,normal
admin,984,ER3,13,1,normal
admin,124,ER2,11,1,normal
admin,135,ER6,11,1,normal
admin,136,ER3,11,1,normal
admin,137,ER3,11,1,normal
admin,138,M2,11,1,normal
admin,139,ER3,11,1,normal
admin,140,M2,11,1,normal
admin,141,M2,11,1,normal
admin,142,ER3,11,1,normal
admin,143,L2,11,1,normal
admin,144,M3,11,1,normal
admin,147,ER3,11,1,normal
admin,152,U2,11,1,normal
admin,153,M4,11,1,normal
admin,156,L2,11,1,normal
admin,157,ER4,11,1,normal
admin,158,ER3,11,1,normal
admin,159,L2,11,1,normal
admin,160,L2,11,1,normal
admin,162,M2,11,1,normal
admin,165,U2,11,1,normal
admin,166,L2,11,1,normal
admin,167,M6,11,1,normal
admin,168,M6,11,1,normal
admin,169,L2,11,1,normal
admin,170,L2,11,1,normal
admin,171,L2,11,1,normal
admin,172,L2,11,1,normal
admin,173,U2,11,1,normal
admin,174,ER3,11,1,normal
admin,175,M6,11,1,normal
admin,176,M4,11,1,normal
admin,177,M3,11,1,normal
admin,178,M2,11,1,normal
admin,179,ER4,11,1,normal
admin,180,ER4,11,1,normal
admin,181,U2,11,1,normal
admin,182,M1,11,1,normal
admin,185,ER4,11,1,normal
admin,186,ER6,11,1,normal
admin,187,ER6,11,1,normal
admin,188,ER6,11,1,normal
admin,189,ER6,11,1,normal
admin,190,ER6,11,1,normal
admin,191,ER6,11,1,normal
admin,192,L2,11,1,normal
admin,193,M2,11,1,normal
admin,194,M3,11,1,normal
admin,195,M3,11,1,normal
admin,196,L2,11,1,normal
admin,197,M4,11,1,normal
admin,198,M3,11,1,normal
admin,199,U2,11,1,normal
admin,200,ER3,11,1,normal
admin,201,ER2,11,1,normal
admin,202,ER3,11,1,normal
admin,203,ER3,11,1,normal
admin,204,M4,11,1,normal
admin,205,ER4,11,1,normal
admin,206,ER4,11,1,normal
admin,207,M3,11,1,normal
admin,208,U4,11,1,normal
admin,209,M2,11,1,normal
admin,210,M3,11,1,normal
admin,211,M3,11,1,normal
admin,212,M1,11,1,normal
admin,213,ER4,11,1,normal
admin,214,M1,11,1,normal
admin,215,L2,11,1,normal
admin,216,L2,11,1,normal
admin,217,M2,11,1,normal
admin,218,M4,11,1,normal
admin,220,M2,11,1,normal
admin,221,ER4,11,1,normal
admin,222,L2,11,1,normal
admin,223,ER2,11,1,normal
admin,224,ER4,11,1,normal
admin,225,ER3,11,1,normal
admin,226,M5,11,1,normal
admin,227,M6,11,1,normal
admin,228,M5,11,1,normal
admin,229,L2,11,1,normal
admin,230,L2,11,1,normal
admin,231,L2,11,1,normal
admin,232,L2,11,1,normal
admin,233,L2,11,1,normal
admin,235,MO2,11,1,normal
admin,236,ER6,11,1,normal
admin,237,ER6,11,1,normal
admin,238,ER6,11,1,normal
admin,239,M1,11,1,normal
admin,240,L2,11,1,normal
admin,241,L2,11,1,normal
admin,242,M1,11,1,normal
admin,243,M3,11,1,normal
admin,244,ER6,11,1,normal
admin,245,ER6,11,1,normal
admin,247,ER6,11,1,normal
admin,248,ER6,11,1,normal
admin,249,L2,11,1,normal
admin,250,ER6,11,1,normal
admin,251,ER6,11,1,normal
admin,252,ER6,11,1,normal
admin,253,ER5,11,1,normal
admin,254,ER5,11,1,normal
admin,255,ER5,11,1,normal
admin,258,U1,11,1,normal
admin,259,U1,11,1,normal
admin,260,L2,11,1,normal
admin,261,L2,11,1,normal
admin,262,ER3,11,1,normal
admin,263,L2,11,1,normal
admin,265,M4,11,1,normal
admin,266,L2,11,1,normal
admin,267,U1,11,1,normal
admin,268,ER6,11,1,normal
admin,269,ER6,11,1,normal
admin,271,ER5,11,1,normal
admin,272,ER5,11,1,normal
admin,273,ER6,11,1,normal
admin,274,ER6,11,1,normal
admin,276,ER6,11,1,normal
admin,277,ER6,11,1,normal
admin,279,ER4,11,1,normal
admin,280,ER3,11,1,normal
admin,281,ER3,11,1,normal
admin,282,L2,11,1,normal
admin,283,M4,11,1,normal
admin,284,U2,11,1,normal
admin,285,L2,11,1,normal
admin,286,ER6,11,1,normal
admin,287,ER6,11,1,normal
admin,288,U1,11,1,normal
admin,289,U1,11,1,normal
admin,290,U1,11,1,normal
admin,291,U1,11,1,normal
admin,292,U1,11,1,normal
admin,293,L2,11,1,normal
admin,294,L2,11,1,normal
admin,295,L2,11,1,normal
admin,296,U1,11,1,normal
admin,297,L2,11,1,normal
admin,298,U1,11,1,normal
admin,299,U1,11,1,normal
admin,300,U1,11,1,normal
admin,301,U1,11,1,normal
admin,302,U1,11,1,normal
admin,303,L2,11,1,normal
admin,304,L2,11,1,normal
admin,305,ER4,11,1,normal
admin,306,ER6,11,1,normal
admin,307,ER6,11,1,normal
admin,308,ER6,11,1,normal
admin,309,ER6,11,1,normal
admin,310,ER6,11,1,normal
admin,311,ER6,11,1,normal
admin,312,ER6,11,1,normal
admin,313,ER6,11,1,normal
admin,314,U1,11,1,normal
admin,317,L2,11,1,normal
admin,320,U1,11,1,normal
admin,324,ER6,11,1,normal
admin,368,L2,11,1,normal
admin,369,U2,11,1,normal
admin,370,M5,11,1,normal
admin,371,M5,11,1,normal
admin,372,L2,11,1,normal
admin,373,ER3,11,1,normal
admin,374,M3,11,1,normal
admin,375,U2,11,1,normal
admin,376,M6,11,1,normal
admin,379,M2,11,1,normal
admin,479,L2,11,1,normal
admin,487,M3,11,1,normal
admin,613,M6,4495,1,normal
admin,614,M6,4495,1,normal
admin,615,M6,4495,1,normal
admin,616,M5,4495,1,normal
admin,617,M6,4495,1,normal
admin,618,M6,4495,1,normal
admin,619,M5,4495,1,normal
admin,620,M1,4495,1,normal
admin,621,M1,4495,1,normal
admin,622,M1,4495,1,normal
admin,623,M3,4495,1,normal
admin,624,M2,4495,1,normal
admin,625,M2,4495,1,normal
admin,626,M2,4495,1,normal
admin,627,M3,4495,1,normal
